COUNTRY,RESULT,NAME,DATE,PLACE
Afghanistan,2:28:46,Waheed Karim,02.12.1990,Sacramento
Albania,2:25:29,Remzi Laho,29.09.1991,Burgas
Algeria,2:09:54,Rachid Ziar,07.04.2002,Paris
American Samoa,2:25:35,Gary Fanelli,10.09.1988,Seoul
Andorra,2:14:25,Antoni Bernadó,16.03.2003,Barcelona
Angola,2:11:40,João n'Tyamba,30.09.2001,Berlin
Antigua and Barbuda,2:31:49,Cordover Simon,28.08.1994,Victoria
Argentina,2:09:57,Antonio Silio,30.04.1995,Hamburg
Armenia,2:20:36,Ashik Mkhitarian,04.04.1968,Uzhgorod
Aruba,2:13:43,Kim Reynierse,10.09.1989,Berchem
Australia,2:07:51,Robert de Castella,21.04.1986,Boston
Austria,2:10:47,Günther Weidlinger,25.10.2009,Frankfurt
Azerbaijan,2:11:22,Tilahun Aliyev,25.01.2013,Dubai
Bahamas,2:34:00,Delroy Boothe,18.12.1999,Jacksonville
Bahrain,2:06:43,Shumi Dechasa,04.05.2014,Hamburg
Bangladesh,2:22:03,Ali Mohamed,07.03.1987,Dhaka
Barbados,2:29:40,Reuben McColin,04.12.1988,Bridgetown
Belarus,2:10:58,Vladimir Kotov,24.05.1980,Moscow
Belgium,2:07:20,Vincent Rousseau,24.09.1995,Berlin
Belize,2:22:01,Patrick Fuller,08.02.2003,"Birmingham, USA"
Benin,2:24:53,Patrice Lompo,11.02.2012,Parakou
Bermuda,2:19:55,Christopher Estwanik,15.04.2013,Boston
Bhutan,2:44:21,Passang Passang,23.05.2010,Wangdue Phodrang
Bolivia,2:17:49,Juan Camacho,07.04.1984,Maassluis
Bosnia and Herzegovina,2:15:55,Sead Kondo,03.05.1975,Karl-Marx-Stadt
Botswana,2:14:57,John James,24.07.2004,Selebi-Phikwe
Brazil,2:06:05,Ronaldo da Costa,20.09.1998,Berlin
British Virgin Islands,2:36:54,Rasalula Nagarit,11.11.2008,Baltimore
Brunei,2:43:32,Sifli Anak Ahar,10.12.2006,Bandar Seri Begawan
Bulgaria,2:11:26,Christo Stefanov,19.10.1997,Sofia
Burkina Faso,2:36:29,Charles Neboua,26.11.2005,Ouagadougou
Burundi,2:13:14,Patrick Ndayisenga,02.05.1999,Turin
Cambodia,2:23:29,Hem Bunting,15.04.2012,Paris
Cameroon,2:18:35,Paul Kuete,08.12.1993,Palermo
Canada,2:10:09,Jerome Drayton,07.12.1975,Fukuoka
Cape Verde,2:18:47,Ruben Sança,10.04.2011,Rotterdam
Cayman Islands,2:40:28,Tony Keely,22.10.2000,Chicago
Central African Republic,2:18:06,Ernest Ndjissipou,30.08.2003,Paris
Chad,2:19:34,Ahmat Abdou-Daoud,29.11.2015,France
Chile,2:12:19,Omar Aguilar,17.04.1988,Rotterdam
Chinese Taipei,2:14:35,Gi-sheng Hsu,25.02.1995,Beppu
Colombia,2:11:17,Carlos Grisales,15.04.1996,Boston
Comoros,2:35:43,Youssouf Gagou,18.09.1998,"Saint-Paul, Réunion"
Cook Islands,2:51:26,Muriaroa Ngaro,03.05.1980,Avarua
Costa Rica,2:13:23,José Luis Molina,03.03.1996,Los Angeles
Côte d'Ivoire,2:22:19,Bassirima Soro,02.02.2003,Miami
Croatia,2:17:05,Drago Paripović,29.03.1992,Bologna
Cuba,2:10:53,Ignacio A. Cuba,13.12.1992,Mérida
Cyprus,2:19:51,Marios Kassianidis,08.10.1982,Brisbane
Czech Republic,2:11:57,Karel David,23.05.1993,Hamburg
Democratic Republic of the Congo,2:08:55,Patrick Tambwé,20.06.2004,Mont St. Michel
Denmark,2:09:43,Henrik Jørgensen,21.04.1985,London
Djibouti,2:07:07,Ahmed Saleh,17.04.1988,Rotterdam
Dominica,3:18:24,Lindson Lynch,29.07.2006,Cartagen
Dominican Republic,2:26:00,Pablo Arroyo,28.12.1986,Santo Domingo
East Timor,2:30:04,Augusto Ramos Soares,15.12.2009,Vientiane
Ecuador,2:09:49,Silvio Guerra,19.10.1997,Chicago
Egypt,2:19:39,Aissa Rezah Abou Diaf,25.12.1997,Al Arish
El Salvador,2:26:57,Víctor Vasquez,13.01.1990,Tegucigalpa
England,2:05:11,Mo Farah,07.10.2018,Chicago
Equatorial Guinea,3:02:00,Candido Owono Nsang,15.03.1992,Barcelona
Eritrea,2:07:27,Yared Asmerom,23.10.2011,Chunchon
Estonia,2:08:53,Pavel Loskutov,07.04.2002,Paris
Ethiopia,2:03:03,Kenenisa Bekele,25.09.2016,Berlin
Falkland Islands,2:43:31,Hugh Marsden,28.08.1994,"Victoria, Canada"
Faroe Islands,2:27:53,Absalon Hansen,24.04.1988,Hamburg
Federated States of Micronesia,2:52:29,Elías Rodríguez,14.07.1990,"San Antonio, USA"
Fiji,2:23:33,Binesh Prasad,24.02.1989,Las Vegas
Finland,2:10:46,Janne Holmén,13.04.2008,Rotterdam
France,2:06:36,Benoît Zwierzchiewski,06.04.2003,Paris
French Polynesia,2:25:28,Jean-Louis Bounhoure,07.08.1983,Apia
Gabon,2:31:59,Jean-Marc Leandro,09.11.2008,Cannes
Gambia,2:23:10,Baba Njie,12.12.1993,Banjul
Georgia,2:16:17,Daviti Kharazishvili,27.09.2015,Berlin
Germany,2:08:33,Arne Gabius,25.10.2015,Frankfurt
Ghana,2:18:43,Emanuel Amoo,11.11.1990,Lagos
Gibraltar,2:32:02,Jimmy Parodi,06.04.1985,Gibraltar
Greece,2:12:04,Spyros Andriopoulos,09.10.1988,Berlin
Greenland,2:24:53,Janus Eigaard,21.05.2000,Copenhagen
Grenada,2:46:50,Findlay O'Neal,04.06.1995,Port of Spain
Guam,2:31:44,Wayne Blas,05.11.2016,Indianapolis
Guatemala,2:12:53,Alfredo Arevalo,30.05.2004,Ottawa
Guernsey,2:13:41,Lee Merrien,22.04.2012,London
Guinea,2:19:05,Alhassane Bangoura,24.09.2017,Berlin
Guinea-Bissau,2:29:04,Joaquim Moreira da Silva,08.11.1987,Lisbon
Guyana,2:25:02,Andrew Smith,29.05.2004,Louisville
Haiti,2:14:22,Dieudonné Lamothe,16.04.1988,Gagny
Honduras,2:17:49,Clovis Morales,24.04.1977,Porz
Hong Kong,2:24:43,Tsui Chi Hin,16.09.2018,Berlin
Hungary,2:12:10,Csaba Szűcs,25.04.1993,Paris
Iceland,2:19:46,Sigurður Sigmundsson,29.09.1985,Berlin
India,2:12:00,Shivnath Singh,28.05.1978,Jalandhar
Indonesia,2:19:18,Eduardus Nabunome,12.09.1993,Jakarta
Iran,2:17:41,Mohammad Jafar Moradi,23.01.2015,Dubai
Iraq,2:21:54,Sadoun Nassir,03.01.1982,Baghdad
Ireland,2:09:15,John Treacy,18.04.1988,Boston
Isle of Man,2:23:34,Dave Cowell,31.01.1974,Christchurch
Israel,2:13:00,Maru Teferi,12.08.2018,Berlin
Italy,2:07:22,Stefano Baldini,23.04.2006,London
Jamaica,2:16:39,Derrick Adamson,25.11.1984,Philadelphia
Japan,2:05:50,Suguru Osako,7.10.2018,Chicago
Jersey,2:22:36,William Tweed,23.04.1989,"London, Great Britain"
Jordan,2:17:24,Methkal Abu Drais,25.01.2015,Marrakesh
Kazakhstan,2:11:59,Nikolay Penzin,03.09.1978,Prague
Kenya,2:01:39,Eliud Kipchoge,16.09.2018,Berlin
Kosovo,2:29:36,Rexhep Ajvazaj,09.02.1997,Las Vegas
Kuwait,2:34:25,Ateya Seoud Khallaf,17.12.1978,Bangkok
Kyrgyzstan,2:11:16,Satymkul Dzhumanazarov,24.05.1980,Moscow
Laos,2:43:45,Sysavath Thammavongchit,24.02.2013,Vientiane
Latvia,2:14:24,Valērijs Žolnerovičs,14.05.2017,Riga
Lebanon,2:20:31,Hussein Awadah,07.11.2010,Beirut
Lesotho,2:10:55,Thabiso Moqhali,12.04.1992,London
Liberia,3:08:22,Nimley Twegbe,19.05.1985,Monrovia
Libya,2:13:33,Ali Zayed Mabrouk,23.11.2008,Milan
Liechtenstein,2:24:11,Marcel Tschopp,20.04.2008,Zürich
Lithuania,2:12:35,Česlovas Kundrotas,26.10.1997,Frankfurt
Luxembourg,2:14:03,Justin Gloden,19.05.1985,Frankfurt
Macao,2:28:22,Lam-weng Hei,05.06.1994,Melbourne
Macedonia,2:25:06,Trpe Martinovski,17.09.2000,Novi Sad
Madagascar,2:17:14,Jules Randrianarivelo,29.07.1979,Moscow
Malawi,2:17:18,Smartex Tambala,02.02.1991,Las Vegas
Malaysia,2:25:07,Chan Yew Woo,17.06.2012,Duluth
Maldives,2:43:13,Ahmed Sharaf,05.03.2017,Rabat
Mali,2:34:16,Siaka Sangaré,23.01.2011,Bamako
Malta,2:26:29,Jonathan Balzan,24.02.2008,Sliema
Mauritania,2:43:10,Majid Touré,13.04.2008,Rotterdam
Mauritius,2:18:20,David Carver,17.04.2016,Hamburg
Mexico,2:07:19,Andres Espinosa,18.04.1994,Boston
"Moldova, Republic of",2:08:32,Jaroslav Mushinschi,02.05.2010,Düsseldorf
Monaco,2:56:52,Sonny Folcheri,23.04.2017,Vienna
Mongolia,2:08:50,Ser-Od Bat-Ochir,07.12.2014,Fukuoka
Montenegro,2:24:18,Drago Musić,04.10.1998,Podgorica
Morocco,2:05:27,Jaouad Gharib,26.04.2009,London
Mozambique,2:31:20,Yancubo Issufo,04.12.2011,Macau
Myanmar,2:19:57,Khin Soe,17.12.1978,Bangkok
Namibia,2:09:08,Luketz Swartbooi,18.04.1994,Boston
Nauru,3:48:06,Karl Hartman,01.01.1968,Nauru
Nepal,2:15:03,Baikuntha Manandhar,10.05.1987,Calcutta
Netherlands,2:08:16,Abdi Nageeye,15.10.2017,Amsterdam
Netherlands Antilles,2:57:28,Herman Couperus,17.03.2007,Curaçao
New Caledonia,2:12:24,Alain Lazare,30.04.1988,Huy
New Zealand,2:08:26,Jake Robertson,04.03.2018,Otsu
Nicaragua,2:20:39,William Aguirre,13.01.1990,Tegucigalpa
Niger,2:25:05,Abdou Manzo,02.10.1988,Seoul
Nigeria,2:16:06,Mohamed Abbas,11.11.1990,Lagos
Niue,3:30:00,Simpson Ikimau,19.10.1982,Paliati
Norfolk Island,3:30:20,James Donaldson,28.07.2002,"Manchester, UK"
North Korea,2:09:26,Li Jong Hyong,19.10.1983,Pyongyang
Northern Ireland,2:13:06,Gregory Hannon,13.05.1979,Coventry
Northern Mariana Islands,2:55:31,Yong Choi,14.07.1990,"San Antonio, Saipan"
Norway,2:05:48,Sondre Nordstad Moen,03.12.2017,Fukuoka
Oman,2:46:59,Awad Shaaban Al-Sameer,02.10.1988,Seoul
Pakistan,2:14:11,Naseer Ahmad,19.12.2003,Rawalpindi
Palau,3:59:46,Joynal Chilton,02.04.2011,Koror
Palestinian territories,2:29:28,Ihab Salama,16.04.2000,Rotterdam
Panama,2:22:51,Juan Solis,24.08.1985,Panama City
Papua New Guinea,2:28:13,Tau John Tokwepota,07.12.1980,Honolulu
Paraguay,2:13:41,Derlis Ramón Ayala,23.09.2018,Buenos Aires
People's Republic of China,2:08:15,Ren Longyun,21.10.2007,Beijing
Peru,2:11:01,Raúl Pacheco,12.04.2015,Rotterdam
Philippines,2:18:44,Eduardo Buenavista,01.02.2004,Ōita
Poland,2:07:39,Henryk Szost,04.03.2012,Ōtsu
Portugal,2:06:36,António Pinto,16.04.2000,London
Puerto Rico,2:12:43,Jorge González,28.08.1983,Caracas
Qatar,2:07:19,Mubarak Hassan Shami,15.04.2007,Paris
Republic of the Congo,2:26:01,Bernard Tsati,16.09.1990,Puteaux
Réunion,2:19:17,Jean-Jacques Prianon,01.05.1977,Nogent sur Marne
Romania,2:12:30,Catalin Andreica,03.09.1978,Prague
Russia,2:09:07,Aleksey Sokolov,29.10.2007,Dublin
Rwanda,2:09:55,Mathias Ntawulikuri,16.04.2000,London
Saint Helena,4:06:47,Erroll Duncan,19.03.2006,Melbourne
Saint Kitts and Nevis,2:38:48,Jesse Mulcaire,05.11.1989,New York City
Saint Lucia,2:16:06,Joseph Zepherinus,05.10.2003,"Saint Paul, USA"
Saint Vincent and the Grenadines,2:15:30,Pamenos Ballantyne,26.01.2003,Port-of-Spain
San Marino,2:21:19,Gian Luigi Macina,27.10.1991,Carpi
Sao Tome and Principe,2:38:32,Mario Pitra,29.06.1980,Brazzaville
Saudi Arabia,2:20:35,Abdullah Al-Sadiq,30.09.2001,Budapest
Scotland,2:09:16,Allister Hutton,21.04.1985,London
Senegal,2:25:01,Samba Faye,14.02.2016,Dakar
Serbia,2:13:57,Borislav Devic,15.01.1995,Houston
Seychelles,2:25:48,Albert Marie,23.10.1988,Victoria
Sierra Leone,2:33:38,Idrissa Kargbo,13.04.2014,London
Singapore,2:24:22,Murugiah Rameshon,13.12.1995,Chiang Mai
Slovakia,2:09:53,Robert Stefko,26.04.1998,London
Slovenia,2:11:50,Roman Kejžar,26.03.2000,Turin
Solomon Islands,2:36:16,Mackay Talasasa,08.10.1982,Brisbane
Somalia,2:17:24,Ahmed Mohamed Ismail,19.10.1986,Detroit
South Africa,2:06:33,Gert Thys,14.02.1999,Tokyo
South Korea,2:07:20,Lee Bong-Ju,13.02.2000,Tokyo
South Sudan,2:14:32,Guor Marial,02.10.2011,"Saint Paul, USA"
Spain,2:06:52,Julio Rey,23.04.2006,Hamburg
Sri Lanka,2:13:47,Anuradha Cooray,26.04.2015,London
Sudan,2:19:51,John Narat,10.03.1977,Khartoum
Suriname,2:39:11,Radjinder Patan,27.11.2005,Paramaribo
Swaziland,2:12:54,Richard Mabuza,31.01.1974,Christchurch
Sweden,2:10:38,Kjell-Erik Ståhl,14.08.1983,Helsinki
Switzerland,2:06:40,Tadesse Abraham,20.03.2016,Seoul
Syria,2:26:27,Ahmed Saker,26.12.1985,Latakia
Tajikistan,2:18:40,Anatoliy Belogurov,20.06.1980,Moscow
Tanzania,2:08:01,Juma Ikangaa / Samson Ramadhani,05.11.1989 / 13.04.2003,New York City / London
Thailand,2:19:33,Jirattikam Boonma,29.01.1995,Chiang Mai
Togo,2:30:17,Outcha Améwouho,11.11.1990,Lomé
Tonga,2:58:51,Matthew Kaea,07.03.2010,Napa County
Trinidad and Tobago,2:13:03,Ronnie Holassie,29.04.2001,Cleveland
Tunisia,2:12:36,Tahar Manjouri,14.01.1996,Marrakesh
Turkey,2:06:10,Kaan Kigen Özbilen,20.03.2016,Seoul
Turkmenistan,2:15:53,Rashid Kakadshanov,05.10.1980,Uzhgorod
Uganda,2:06:33,Stephen Kiprotich,22.02.2015,Tokyo
Ukraine,2:07:15,Dmytry Baranovskiy,03.12.2006,Fukuoka
United Arab Emirates,2:23:42,Jassim Abbas Ali,11.01.2002,Dubai
United States,2:05:38,Khalid Khannouchi,14.04.2002,London
United States Virgin Islands,2:25:17,Eduardo Garcia,09.04.2017,Rotterdam
Uruguay,2:12:48,Néstor García,24.10.1999,Chicago
Uzbekistan,2:13:28,Vladimir Beloborodov,15.06.1985,Mogilev
Venezuela,2:11:25,Carlos Tarazona,30.04.2000,Cleveland
Viet Nam,2:21:51,Nguyen Chi Dong,12.12.2003,Hanoi
Wales,2:07:13,Steve Jones,20.10.1985,Chicago
Yemen,2:40:41,Mohamed Al-Saadi,04.08.1996,Atlanta
Zambia,2:11:35,Jordan Chipangama,20.06.2015,Duluth
Zimbabwe,2:09:52,Cuthbert Nyasango,11.05.2014,Prague